Density,cohesion, friction, angle,Height,ru,Status
25,46,36,44.5,299,0.25,Stable
19.63,11.98,20,22,12.19,0,Failure
25,12,45,53,120,0,Stable
18.7724,30.01,9.99,25.016,50,0.1,Stable
25,46,35,47,443,0.29,Stable
18.7724,25.05835,9.99,25.016,50,0.2,Failure
30.95,30.79,27.08,39.77,131.22,0.22,Stable
17.4,14.95,21.2,45,15,0.4,Failure
23.1,25.2,29.2,36.5,61.9,0.4,Stable
21.51,6.94,30,31,76.8,0.38,Failure
20.9592,45.015,25.02,49.025,12,0.3,Stable
27,32,33,42.6,301,0.29,Failure
15.9892,70.07335,19.98,40.015,115,0,Failure
12,0,30,45,8,0.29,Failure
25,46,35,50,285,0.25,Stable
13.9728,12.004,26.01,29.998,88,0.45,Failure
18.68,26.34,15,35,8.23,0.25,Failure
18.7724,30.01,19.98,29.998,50,0.1,Stable
22,0,40,33,8,0.35,Stable
20,0,36,45,50,0.25,Failure
31.3,68.6,37,47,305,0,Failure
22,10,35,45,10,0.403,Failure
18,5,26.5,15.52,53,0.4,Failure
21.7,32,27,45,60,0,Failure
14,11.97,26,30,88,0.25,Failure
18.84,14.36,25,20,30.5,0.25,Stable
12,0,30,45,4,0.25,Stable
18,5,22,15.52,53,0.4,Failure
26.2,44.14,32.26,37.71,359.04,0.21,Stable
19.9652,19.95665,36,44.997,50,0.5,Failure
22,20,36,45,50,0.25,Failure
12,0,30,35,4,0,Stable
25,120,45,53,120,0.25,Stable
31.3,68,37,46,366,0,Failure
26.5,36.1,31,35,39,0,Stable
20.9592,30.01,35.01,40.015,12,0.4,Stable
27.3,10,39,40,470,0.29,Stable
27.3,36,1,50,92,0.29,Stable
18.84,0,20,20,7.62,0.45,Failure
26.2,41.5,36,35,30,0,Stable
27.4,38.1,31,25,42,0,Stable
26.93,0,41.13,31.68,8.16,0.3,Stable
20.8,15.6,20,30,45,0,Failure
27,27.3,29.1,34,126.5,0.3,Failure
30.33,15.62,24.21,52.5,85.76,0.25,Failure
19,11.9,20.4,21.04,54,0.75,Stable
18.8,9.8,21,19.29,39,0.25,Failure
21.1,34.2,26,30,75,0,Failure
20,0.1,36,45,50,0.29,Failure
24,0,40,33,8,0.3,Failure
24.45,11.34,39.31,44.03,9.79,0.43,Failure
18,0,30,33,8,0.303,Stable
20.41,24.91,13,22,10.67,0.35,Stable
21.8,31.2,25,30,60,0,Failure
20,0.1,36,45,50,0.503,Failure
24,0,40,33,8,0.303,Stable
26.78,26.79,30.66,43.66,249.7,0.25,Stable
31.25,25.73,27.97,48.23,91.55,0.21,Failure
12,0.03,30,35,4,0.29,Failure
22,0,36,45,50,0.25,Failure
25,55,36,45,239,0.25,Stable
23,24,19.8,23,380,0,Failure
21.2,0,35,23.75,150,0.25,Failure
20.9592,34.96165,27.99,40.015,12,0.5,Stable
12,0,30,45,8,0.25,Failure
27,70,22.8,45,60,0.32,Stable
18.7724,19.95665,19.98,29.998,50,0.3,Failure
28.44,29.42,35,35,100,0.25,Stable
20.8,15.4,21,30,53,0,Failure
19.596,12.004,19.98,21.995,12.2,0.405,Failure
22.1,24.2,39.7,45.8,49.5,0.21,Stable
22.4,29.3,26,50,50,0,Failure
20,0,24.5,20,8,0.35,Stable
25,55,36,45.5,299,0,Stable
17.55,22.08,0,34.99,5.88,0.35,Failure
20.52,14.06,26.23,25.38,9.86,0.37,Stable
21.9816,19.95665,22.005,19.981,180,0.1,Failure
18.46,12.004,0,29.998,6,0,Failure
20.45,16,15,30,36,0.25,Stable
21.1,33.5,28,40,31,0,Failure
22,20,36,45,30,0.29,Failure
17.6,10,16,21.8,9,0.4,Stable
31.3,68.6,37,47,270,0.25,Failure
23.4,15,38.5,30.3,45.2,0.28,Failure
16.472,11.55385,0,29.998,3.6,0,Failure
